Personnages,Lieu de vie
"Mark Watney, astronaute",Mars
"Martinez, astronaute",Espace
"Commandant Lewis, astronaute",Espace
Beth Johanssen ,Espace
"Vogel, astronaute",Espace
"Beck, Docteur",Espace
"Sanders, Directeur NASA",Terre
Journalistes,Terre
"Vincent Kapoor, Directeur mission Mars",Terre
Employés NASA,Terre
"Mind Park, Communication NASA",Terre
"Annie Montrose, Directrice Presse NASA",Terre
"Mitch Henderson, Directeur Vol Hermès NASA",Terre
"Bruce Ng, Directeur Laboratoire Jet Propulsion",Terre
Employés Laboratoire Jet Propulsion,Terre
Président des USA,Terre
"Rich Purnell, astrodynamique",Terre
"Guo Ming, Directeur CNSA",Terre
"Zhu Tao, Vice-directrice CNSA",Terre
Famille Martinez,Terre
Employés CNSA,Terre
Mari Lewis,Terre
Famille Vogel,Terre
New-yorkais,Terre
Habitants de Beijing,Terre
Londoniens,Terre
Astronautes NASA,Espace
